"location","ams_code","year","pop"
"Wezep",11106,1869,4626
"Ommen",11069,1869,3261
"Stadskanaal",10610,1869,6023
"Oost-Souburg",11396,1869,1679
"Oosterhout",11280,1869,8472
"Oss",10834,1869,4342
"Oud Beijerland",11301,1869,4579
"Oudenbosch",10397,1869,3858
"Valkenburg",10868,1869,590
"Papendrecht",10427,1869,2150
"Pijnacker",10031,1869,1798
"Hoogvliet",11395,1869,1093
"Prinsenbeek",10762,1869,5852
"Purmerend",11066,1869,4545
"Putten",11109,1869,4284
"Raalte",10279,1869,5638
"Raamsdonksveer",11391,1869,3778
"Wolvega",10330,1869,2606
"Oosterwolde",10330,1869,2606
"Burgum",10330,1869,2606
"Oosterbeek",11325,1869,4592
"Velp",11355,1869,9589
"Dieren",11355,1869,9589
"Rhenen",10309,1869,4037
"Rhoon",10903,1869,1368
"Ridderkerk",10646,1869,6024
"Rijnsburg",11118,1869,1872
"Rijssen",10358,1869,3428
"Rijswijk",11133,1869,2817
"Roden",10699,1869,2370
"Roermond",11313,1869,9238
"Roosendaal",10407,1869,7644
"Rosmalen",10970,1869,2332
"Rotterdam",10345,1869,117075
"Rozenburg",11314,1869,1380
"Sassenheim",10612,1869,1179
"Schagen",10511,1869,2632
"Schiedam",11260,1869,19322
"Schijndel",11178,1869,4802
"Heerenveen",10680,1869,11577
"Den Haag",11434,1869,91328
"s-Gravenzande",10640,1869,5287
"Den Bosch",10054,1869,24925
"Sint Michielsgestel",10496,1869,3290
"Sint Oedenrode",10399,1869,4462
"Sittard",11230,1869,4748
"Sliedrecht",11331,1869,6998
"Drachten",10405,1869,8701
"Sneek",11421,1869,9248
"Soest",11021,1869,3334
"Someren",10203,1869,2940
"Son",10549,1869,1578
"Spijkenisse",10735,1869,1623
"Staphorst",11362,1869,4763
"Steenbergen",10731,1869,6166
"Steenwijk",10546,1869,4320
"Stein",11319,1869,1711
"Tegelen",11333,1869,1971
"Terneuzen",10704,1869,3838
"Tiel",10027,1869,8067
"Tilburg",10792,1869,21459
"Uden",11141,1869,5338
"Uitgeest",11238,1869,2008
"Uithoorn",11206,1869,1574
"Urk",10783,1869,1244
"Utrecht",10722,1869,60361
"Valkenswaard",11031,1869,1186
"Veendam",11292,1869,8987
"Veenendaal",11052,1869,3712
"Veghel",10985,1869,4645
"Veldhoven",10071,1869,1294
"De Meern",10713,1869,321
"IJmuiden",10620,1869,3985
"Velserbroek",10620,1869,3985
"Venlo",10477,1869,7866
"Venray",11222,1869,4958
"Leidschendam",10366,1869,993
"Vianen",10887,1869,3127
"Vlaardingen",10811,1869,8337
"Vleuten",10658,1869,1224
"Vlijmen",11293,1869,3135
"Vlissingen",10270,1869,9617
"Voorburg",11103,1869,2649
"Voorhout",10017,1869,998
"Voorschoten",10537,1869,1985
"Twello",10912,1869,8827
"Vriezenveen",10643,1869,3451
"Vught",11224,1869,3021
"Waalre",10959,1869,915
"Waalwijk",11359,1869,3335
"Waddinxveen",10081,1869,833
"Wageningen",11010,1869,5726
"Wassenaar",10164,1869,3223
"Wateringen",11329,1869,1719
"Weert",11081,1869,7000
"Weesp",10773,1869,3068
"Westervoort",11085,1869,1437
"Wierden",10676,1869,5776
"Wijchen",10723,1869,3232
"Wijk bij Duurstede",10760,1869,2991
"Winschoten",10453,1869,5547
"Winterswijk",11119,1869,7516
"Woerden",10974,1869,4111
"Wormer",10648,1869,1554
"Wormerveer",10361,1869,3432
"Woudenberg",11398,1869,2143
"Zaandam",11044,1869,12045
"Zaltbommel",10557,1869,4318
"Zandvoort",10910,1869,1621
"Zoetermeer",10185,1869,1462
"Zeist",10324,1869,5305
"Zevenaar",10938,1869,3670
"Zevenbergen",10046,1869,6064
"Zierikzee",10843,1869,7706
"Zuidlaren",10002,1869,1815
"Zutphen",10254,1869,14554
"Zwaag",10218,1869,1021
"Zwijndrecht",10468,1869,2987
"Zwolle",10093,1869,20567
"Aalsmeer",11264,1879,3715
"Aalten",11046,1879,6591
"Alblasserdam",11327,1879,4169
"Alkmaar",10527,1879,13304
"Almelo",11053,1879,7758
"Alphen aan den Rijn",10517,1879,3530
"Hardenberg",10174,1879,7673
"Amersfoort",10948,1879,13704
"Amsterdam",11150,1879,317501
"Apeldoorn",11075,1879,15053
"Appingedam",10886,1879,4060
"Arnhem",10795,1879,40978
"Assen",10522,1879,7932
"Assendelft",11373,1879,3286
"Asten",10478,1879,3307
"Dedemsvaart",11190,1879,6532
"Baarn",11411,1879,3529
"Barendrecht",10943,1879,3201
"Barneveld",10906,1879,6576
"Voorthuizen",10906,1879,6576
"Beek",11374,1879,2599
"Reuver",10195,1879,1832
"Beilen",10520,1879,4351
"Bemmel",10744,1879,5329
"Schoonhoven",10962,1879,2552
"Bergen",11424,1879,1503
"Bergen op Zoom",11037,1879,10419
"Bergeijk",11160,1879,1750
"Bergschenhoek",10445,1879,1052
"Berkel en Rodenrijs",10139,1879,1598
"Berkel-Enschot",11132,1879,1171
"Best",10442,1879,2024
"Beuningen",10417,1879,2094
"Beverwijk",10272,1879,3796
"Bladel",11006,1879,1293
"Bleiswijk",10994,1879,1488
"Bodegraven",11091,1879,3328
"Borne",10326,1879,3967
"Boskoop",10419,1879,2622
"Bovenkarspel",10945,1879,1497
"Boxmeer",11227,1879,2082
"Boxtel",10083,1879,5459
"Breda",10154,1879,17107
"Breukelen",11149,1879,932
"Brielle",10232,1879,4442
"Eerbeek",10798,1879,6704
"Brunssum",10533,1879,1176
"Bunschoten Spakenburg",11343,1879,1948
"Bussum",10281,1879,1825
"Capelle aan den IJssel",11248,1879,2816
"Castricum",11287,1879,1520
"Coevorden",10383,1879,3007
"Cuijk",10023,1879,2361
"Culemborg",10342,1879,6725
"Dalfsen",11007,1879,5306
"De Bilt",10168,1879,2284
"Bilthoven",10168,1879,2284
"Delft",10928,1879,25355
"Delfzijl",10976,1879,5873
"De Lier",10241,1879,994
"Den Helder",10285,1879,18291
"Julianadorp",10285,1879,18291
"Deurne",10379,1879,4990
"Deventer",10899,1879,19162
"Werkendam",10116,1879,2410
"Didam",10153,1879,3661
"Diemen",11039,1879,1719
"Doesburg",10327,1879,4541
"Doetinchem",10396,1879,2642
"Dokkum",10198,1879,4479
"Dongen",11412,1879,4229
"Doorn",10213,1879,1337
"Dordrecht",11157,1879,27292
"Driebergen-Rijsenburg",10777,1879,2236
"Drunen",10428,1879,2823
"Druten",10068,1879,4604
"Duiven",11028,1879,2812
"Echt",10941,1879,4611
"Volendam",10884,1879,5600
"Ede",10743,1879,11405
"Lunteren",10743,1879,11405
"Bennekom",10743,1879,11405
"Eibergen",10436,1879,5012
"Eindhoven",11298,1879,3784
"Elburg",11113,1879,2615
"Elst",11188,1879,5531
"Emmen",11180,1879,10381
"Klazienaveen",11180,1879,10381
"Enkhuizen",10729,1879,5774
"Enschede",10364,1879,5450
"Epe",10940,1879,7863
"Vaassen",10940,1879,7863
"Ermelo",10732,1879,5245
"Nunspeet",10732,1879,5245
"Etten-Leur",10750,1879,5793
"Franeker",11226,1879,7222
"Geldermalsen",10881,1879,2570
"Geldrop",10529,1879,2438
"Geleen",10048,1879,2265
"Gemert",10277,1879,4944
"Ulft",10260,1879,5803
"Genemuiden",10746,1879,2827
"Rijen",11375,1879,2861
"Goes",10674,1879,6394
"Goirle",10971,1879,1753
"Goor",10076,1879,2467
"Gorinchem",10942,1879,9697
"Gouda",10302,1879,18118
"Groesbeek",10616,1879,4382
"Groningen",10426,1879,46058
"Haaksbergen",11435,1879,4895
"Haarlem",10357,1879,36976
"Hoofddorp",11387,1879,14318
"Nieuw Vennep",11387,1879,14318
"Badhoevedorp",11387,1879,14318
"Halsteren",10387,1879,2838
"Harderwijk",10786,1879,6840
"Hardinxveld Giessendam",10167,1879,4328
"Haren",11058,1879,3621
"Harlingen",10909,1879,10735
"Joure",10022,1879,7513
"Hattem",10673,1879,2823
"Heemskerk",10679,1879,1634
"Heemstede",11288,1879,3165
"Heerde",10291,1879,5367
"Heerhugowaard",10752,1879,2692
"Heerlen",10902,1879,5105
"Heesch",10149,1879,2176
"Heiloo",10793,1879,1469
"Nijverdal",10806,1879,5891
"Helmond",10932,1879,7366
"Hendrik Ido Ambacht",10416,1879,2664
"Hengelo",10907,1879,9996
"Malden",10600,1879,1508
"Hillegom",11236,1879,2891
"Hilversum",11285,1879,9165
"Hoensbroek",11177,1879,1257
"Hoogeveen",10839,1879,11615
"Hoogezand",10410,1879,7930
"Hoogland",10545,1879,2231
"Hoorn",11392,1879,10200
"Horst",11108,1879,3838
"Houten",10230,1879,1714
"Huissen",11047,1879,3780
"Huizen",11170,1879,3701
"Hulst",11408,1879,2429
"IJsselmuiden",10641,1879,2086
"IJsselstein",10152,1879,3286
"Nieuwegein",10374,1879,2533
"Kampen",10253,1879,17444
"Katwijk",10707,1879,5829
"Kerkrade",10313,1879,6105
"Koog aan de Zaan",10776,1879,2320
"Krimpen aan den IJssel",10859,1879,1846
"Krommenie",10373,1879,2630
"Laren",10649,1879,5955
"Leek",10604,1879,5296
"Leerdam",10685,1879,3380
"Leeuwarden",11228,1879,29006
"Leiden",10702,1879,40799
"Leiderdorp",10058,1879,3033
"Lemmer",10142,1879,5721
"Leusden",10978,1879,1716
"Lichtenvoorde",10242,1879,3923
"Lisse",10197,1879,2176
"Lochem",11263,1879,2906
"Oldenzaal",11045,1879,12794
"Kaatsheuvel",11259,1879,6770
"Losser",11166,1879,4627
"Maarssen",10874,1879,1339
"Maassluis",10880,1879,4827
"Maastricht",10182,1879,28557
"Made",10258,1879,3175
"Meppel",11204,1879,8238
"Middelburg",10122,1879,15443
"Mijdrecht",11379,1879,3802
"Monster",10019,1879,4193
"Naaldwijk",11418,1879,4814
"Naarden",10187,1879,2845
"Nederweert",10681,1879,4671
"Landgraaf",10088,1879,1154
"Amstelveen",10799,1879,14609
"Nieuwerkerk aan den IJssel",10855,1879,2391
"Hellevoetsluis",10264,1879,1488
"Nijkerk",10446,1879,7602
"Nijmegen",11209,1879,24971
"Noordwijk",10769,1879,3697
"Noordwijkerhout",11134,1879,1513
"Nootdorp",10601,1879,787
"Nuenen",10761,1879,2534
"Oegstgeest",10287,1879,2703
"Oirschot",10225,1879,3972
"Oisterwijk",10103,1879,2789
"Wezep",11106,1879,4963
"Ommen",11069,1879,2595
"Stadskanaal",10610,1879,7686
"Oost-Souburg",11396,1879,1236
"Oosterhout",11280,1879,9853
"Oss",10834,1879,4970
"Oud Beijerland",11301,1879,5028
"Oudenbosch",10397,1879,4114
"Valkenburg",10868,1879,662
"Papendrecht",10427,1879,2627
"Pijnacker",10031,1879,1698
"Hoogvliet",11395,1879,1117
"Prinsenbeek",10762,1879,6429
"Purmerend",11066,1879,4994
"Putten",11109,1879,4665
"Raalte",10279,1879,5795
"Raamsdonksveer",11391,1879,4364
"Wolvega",10330,1879,2850
"Oosterwolde",10330,1879,2850
"Burgum",10330,1879,2850
"Oosterbeek",11325,1879,5588
"Velp",11355,1879,11498
"Dieren",11355,1879,11498
"Rhenen",10309,1879,4483
"Rhoon",10903,1879,1567
"Ridderkerk",10646,1879,6809
"Rijnsburg",11118,1879,2050
"Rijssen",10358,1879,3894
"Rijswijk",11133,1879,2651
"Roden",10699,1879,3333
"Roermond",11313,1879,10470
"Roosendaal",10407,1879,8613
"Rosmalen",10970,1879,2999
"Rotterdam",10345,1879,170650
"Rozenburg",11314,1879,1761
"Sassenheim",10612,1879,1177
"Schagen",10511,1879,3200
"Schiedam",11260,1879,23035
"Schijndel",11178,1879,5193
"Heerenveen",10680,1879,13077
"Den Haag",11434,1879,113460
"s-Gravenzande",10640,1879,4680
"Den Bosch",10054,1879,24678
"Sint Michielsgestel",10496,1879,3484
"Sint Oedenrode",10399,1879,4538
"Sittard",11230,1879,5102
"Sliedrecht",11331,1879,8656
"Drachten",10405,1879,9552
"Sneek",11421,1879,10496
"Soest",11021,1879,3606
"Someren",10203,1879,3027
"Son",10549,1879,1627
"Spijkenisse",10735,1879,1755
"Staphorst",11362,1879,5069
"Steenbergen",10731,1879,6705
"Steenwijk",10546,1879,4926
"Stein",11319,1879,1852
"Tegelen",11333,1879,2598
"Terneuzen",10704,1879,4694
"Tiel",10027,1879,8933
